"Town","Province","Page","Page2"
"Aachen","Rhineland","1","0"
"Aalen","W??rttemberg","4","0"
"Ahlen","Westphalia","5","0"
"Aken","Saxony (Provinz)","5","0"
"Albbruck","Baden","5","697"
"Aliendorf","Hesse Nassau","6","0"
"Alienstein","East Prussia","6","0"
"Alsdorf","Rhineland","7","0"
"AltBtting","Bavaria","10","0"
"Altdaima","Pomerania","8","0"
"Altena","Westphalia","8","0"
"Altenburg","Thuringia","10","0"
"Altona","Schleswig-Holstein","503","0"
"Amberg","Bavaria","10","0"
"Ammendorf","Saxony (Provinz)","11","0"
"Andernach","Rhineland","11","0"
"Andreash??tte","Silesia","12","0"
"Anklam","Pomerania","13","0"
"Annaberg","Saxony","13","0"
"Annahfttte","Brandenburg","13","0"
"Ansbach","Bavaria","14","0"
"Arnimswalde","Pomerania","8","0"
"Arnsberg","Westphalia","14","0"
"Arnstadt","Thuringia","15","0"
"Aschaffenburg","Bavaria","15","0"
"Aschersleben","Saxony (Provinz)","18","0"
"Aue","Saxony","18","0"
"Auerbach","Saxony","20","0"
"Augsburg","Bavaria","20","0"
"Augustenthal","Westphalia","25","0"
"Baden-Baden","Baden","24","0"
"BadGodesberg","Rhineland","24","0"
"BadHomburg","Hesse Nassau","24","0"
"BadKreuznach","Rhineland","25","0"
"BadOeynhausen","Westphalia","25","0"
"Bamberg","Bavaria","26","0"
"Barmen","Westphalia","757","0"
"Basdorf","Brandenburg","26","0"
"Bautzen","Saxony","27","0"
"Bayreuth","Bavaria","28","0"
"Belgard","Pomerania","28","0"
"Benrath","Rhineland","179","0"
"Bensberg","Rhineland","29","0"
"Bensheim","Hesse","29","0"
"Bergedorf","Hamburg","29","0"
"Bergheim","Rhineland","50","0"
"Bergisch-Gladbach","Rhineland","51","0"
"Berlin","Brandenburg","52","0"
"Berriburg","Anhalt","59","0"
"Betzdorf-Siegthal","Rhineland","60","0"
"Beuel","Rhineland","60","0"
"Beuthen","Silesia","61","0"
"Bielefeld","Westphalia","65","0"
"Bingen","Hesse","68","0"
"Bitterfeld","Saxony (Provinz)","69","0"
"Blechhammer","Upper Silesia","75","0"
"B??blingen","W??rttemberg","84","0"
"Bocholt","Westphalia","76","0"
"Bochum","Westphalia","76","0"
"B??hlen","Saxony","428","0"
"B??mlitz","Hanover","334","0"
"Bonn","Rhineland","85","0"
"Bottrop","Westphalia","86","0"
"Bous","Saar","87","0"
"Brackwede","Westphalia","87","0"
"Brandenburg","Brandenburg","89","0"
"Braubach","Rhineland","91","0"
"Braunschweig","Brunswick","91","0"
"Br??unsterg","East Prussia","91","0"
"Brebach","Saar","593","0"
"Bremen","Free City","97","0"
"Bremerhaven","Hanover","103","0"
"Breslau","Silesia","105","0"
"Brieste","Brandenburg","619","0"
"Bruchsal","Baden","112","0"
"Br??hl","Rhineland","112","0"
"Brunswick","Brunswick","91","0"
"Buer/Ruhr","Westphalia","260","0"
"Bunzlau","Silesia","113","0"
"B??rbach","Saar","593","0"
"Burg","Saxony (Provinz)","113","0"
"Burghausen","Bavaria","114","0"
"Burgstadt","Saxony","114","0"
"Burscheid","Rhineland","114","0"
"Cassel","Hesse Nassau","381","0"
"Castrop-Rauxel","Westphalia","115","0"
"Celle","Hanover","117","0"
"Chemnitz","Saxony","118","0"
"ClausthalZellerfeld","Hanover","124","0"
"C??blenz","Rhineland","393","0"
"Coburg","Bavaria","124","0"
"Cologne","Rhineland","396","0"
"Cosel","Silesia","414","0"
"Coswig","Anhalt","124","0"
"Coswig","Saxony","125","0"
"Cottbus","Brandenburg","125","0"
"Crimmitschau","Saxony","126","0"
"Cuxhaven","Hanover","126","0"
"D&lken","Rhineland","176","0"
"Danzig","Free City","127","0"
"Darmstadt","Hesse","131","0"
"Datteln","Westphalia","134","0"
"Deggendorf","Bavaria","135","0"
"Deschowitz","Upper Silesia","136","0"
"Desmin","Pomerania","135","0"
"Dessau","Anhalt","137","0"
"Detmold","Lippe","139","0"
"Dillingen","Saar","139","0"
"Dinslaken","Rhineland","152","0"
"Dittersbach","Silesia","695","0"
"Dobeln","Saxony","141","0"
"Donauw??rth","Bavaria","141","0"
"D??ren","Rhineland","176","0"
"Dormagen","Rhineland","141","0"
"Dortmund","Westphalia","142","0"
"Dreetz","Brandenburg","154","0"
"Dresden","Saxony","154","0"
"Duisburg","Rhineland","162","0"
"Duneberg-Kr??mmel","Schleswig-Holstein","177","0"
"D??sseldorf","Rhineland","179","0"
"Eberswalde","Brandenburg","193","0"
"Ebingen","W??rttemberg","195","0"
"Ehrang","Rhine province","195","0"
"Eilenburg","Saxony","196","0"
"Eisenach","Thuringia","197","0"
"Eisenberg","Thuringia","198","0"
"Eiserfeld","Westphalia","623","0"
"Eisleben","Saxony","198","0"
"Elberfeld","Westphalia","737","0"
"Elbing","East Prussia","199","0"
"Elmshorn","Schleswig-Holstein","200","0"
"Elsnig","Saxony","672","0"
"Emmerich","Rhineland","202","0"
"Emsdetten","Westphalia","202","0"
"Enmendingen","Baden","201","0"
"Erfurt","Saxony","202","0"
"Erkenschwick","Westphalia","562","0"
"Erlangen","Bavaria","204","0"
"Eschwege","Hesse Nassau","204","0"
"Eschweiler","Rhineland","205","0"
"Essen","Rhineland","207","0"
"Esslingen","W??rttemberg","657","0"
"Euskirchen","Rhineland","218","0"
"Falkensee","Brandenburg","219","0"
"Falkenstein","Saxony","219","0"
"Fallersleben","Hanover","219","0"
"Ferndorf","Westphalia","220","0"
"finden","Hanover","200","0"
"Finkenheerd","Brandenburg","221","0"
"Finnentrop","Westphalia","221","0"
"Finsterwalde","Brandenburg","221","0"
"Flensburg","Schleswig-Holstein","225","0"
"Forbach","Baden","224","0"
"Forst","Brandenburg","224","0"
"Fortuna","Rhineland","50","0"
"Frankenberg","Saxony","225","0"
"Frankenthal","Palatinate","225","0"
"Frankfurt/am/Main","Hesse Nassau","227","0"
"Frankfurt/Oder","Brandenburg","245","0"
"Frechen","Rhineland","244","0"
"Freiberg","Saxony","244","0"
"Freiburg","Baden","244","0"
"Freising","Bavaria","246","0"
"Freital","Saxony","246","0"
"Freyburg","Saxony","246","0"
"Friedberg","Hesse","247","0"
"Friedrichsfeld","Baden","247","0"
"Friedrichshafen","W??rttemberg","248","0"
"Fulda","Hesse Nassau","252","0"
"F??rstenhagen","Hesse Nassau","253","0"
"F??rstenwalde","Brandenburg","253","0"
"F??rth","Bavaria","255","0"
"Furtwangen","Baden","256","0"
"Gaggenau","Baden","257","0"
"Gazmisch","Bavaria","257","0"
"Geislingen","W??rttemberg","257","0"
"Geisweid","Westphalia","258","0"
"Gelsenkirchen","Westphalia","260","0"
"Genshagen","Brandenburg","267","0"
"Genthin","Saxony","267","0"
"Gera","Thuringia","268","0"
"Gevelsberg","Westphalia","292","0"
"Gftrlitz","Silesia","278","0"
"Giessen","Hesse","271","0"
"Gladbeck","Westphalia","271","0"
"Glatz","Silesia","272","0"
"Glauchau","Saxony","272","0"
"Glausig","Anhalt","416","0"
"Gleiwitz","Silesia","272","0"
"Glogau","Silesia","276","0"
"G??ppingen","W??rttemberg","276","0"
"Goslar","Hanover","279","0"
"Gotha","Thuringia","281","0"
"G??ttingen","Hanover","284","0"
"Greifferiberg","Silesia","285","0"
"Greifswald","Pomerania","285","0"
"Greiz","Thuringia","286","0"
"Grevenbroich","Rhineland","287","0"
"Grftriberg","Silesia","288","0"
"Gronau","Westphalia","287","0"
"GrossKayna","Saxony (Provinz)","710","0"
"Guben","Brandenburg","289","0"
"Gumbinnen","East Prussia","289","0"
"Gummersbach","Rhineland","290","0"
"G??strow","Mecklenburg","291","0"
"G??tersloh","Westphalia","291","0"
"Hagen","Westphalia","292","0"
"Hainichen","Saxony","298","0"
"Halberstadt","Saxony (Provinz)","298","0"
"Halle","Saxony (Provinz)","299","0"
"Ham","Westphalia","329","0"
"Hamburg","Free City","303","0"
"Hameln","Hanover","328","0"
"Hanau","Hesse Nassau","331","0"
"Hannover","Hanover","334","0"
"Hasslinghausen","Westphalia","292","0"
"Hattingen","Westphalia","76","0"
"H??usern","Baden","697","0"
