Name,Address,Description,Latitude,Longitude,
AACHEN,,,50.47,6.5,
AALEN,,,48.50,10.5,
AHLEN,,,51.45,7.55,
AKEN,,,51.50,12.0,
ALBBRUCK,,,47.36,8.8,
ALLENDORF,,,50.50,8.50,
ALLENSTEIN,,,53.45,20.50,
ALSDORF,,,50.55,6.10,
ALTDAMM,,,53.25,14.40,
ALTENA,,,51.15,7.40,
ALTENBURG,,,51.12,25,
ALTÖTTING,,,48.14,12.40,
AMBERG,,,49.25,10.50,
AMMENDORF,,,51.30,12.0,
ANDERNACH/Rhine,,,50.26,7.24,
ANDREASHÜTTE,,,50.35,18.30,
ANKLAM,,,53.50,13.14,
ANNABERG,,,50.35,13.0;,
ANNAHÜTTE,,,51.34,13.54,
ANSBACH,,,49.20,10.40,
ARNSBERG,,,51.25,8.10,
ARNSTADT,,,50.50,10.55,
ASCHAFFENBURG,,,50.9,10,
ASCHERSLEBEN,,,51.45,11.30,
AUE,,,50.35,12.40,
AUERBACH,,,50.30,12.25,
AUGSBURG,,,48.20,10.50,
AUGUSTENTHAL,,,51.27,7.40,
BADEN-BADEN,,,48.45,8.15,
BAD-GODESBERG,,,50.45,7.10,
BAD-HOMBURG,,,50.15,8.35,
BAD-KREUZNACH,,,49.50,7.50,
BAD-OEYNHAUSEN,,,52.10,8.50,
BAMBERG,,,49.50,10.55,
BASDORF,,,53.5,13.20,
BAUTZEN,,,51.10,14.30,
BAYREUTH,,,49.55,11.35,
BELGARD,,,54.0,16.0
BENSBERG,,,50.55,7.10,
BENSHEIM,,,49.40,8.45,
BERGEDORF,,,50.30,10.50,
BERGHEIM,,,50.57,6.40,
BERGISCH-GLADBACH,,,51.7,15,
BERLIN,,,52.30,13.20
BERNBURG,,,51.45,11.45,
BETZDORF-SIEGTHAL,,,50.45,7.40,
BEUEL,,,50.40,7.10,
BEUTHEN,,,50.20,18.55,
BIELEFELD,,,52.8,30,
BINGEN,,,49.55,7.55,
BITTERFELD,,,51.45,12.20,
BLECHHAMMER,,,50.20,18.18,
BOCHOLT,,,51.50,6.40,
BOCHUM,,,51.30,7.15,
BÖBLINGEN,,,48.40,9.0,
BONN,,,50.45,7.5,
BOTTROP,,,51.30,6.55,
BRACKWEDE,,,52.8,30,
BRANDENBURG,,,52.25,12.30,
BRAUNSBERG,,,54.20,19.50,
BREMEN,,,53.5,8.50
BREMERHAVEN,,,53.33,8.35,
BRESLAU,,,51.5,17.0,
BRUCHSAL,,,49.5,8.35,
BRÜHL,,,50.50,6.55,
BUNZLAU,,,51.15,15.35,
BURG,,,52.15,11.50,
BURGHAUSEN,,,48.10,12.50,
BURGSTADT,,,50.55,12.50,
CASTROP-RAUXEL,,,51.35,7.20,
CELLE,,,52.35,10.5,
CHEMNITZ,,,50.50,12.55,
CLAUSTHAL-ZELLERFELD,,,51.48,10.20,
COBURG,,,50.15,11.0;,
COSWIG,,,51.55,12.30,
COSTTIG,,,51.10,13.30,
COTTBUS,,,51.45,14.20,
CRIMMITSCHAU,,,50.50,12.25,
CUXHAVEN,,,53.50,8.40,
DANZIG,,,54.20,18.40
DARMSTADT,,,49.50,8.40,
DATTELN,,,51.40,7.20,
DEGGENDORF,,,48.50,13.0,
DEMMIN,,,53.55,13.0,
DESCHOWITZ,,,50.25,18.10,
DESSAU,,,51.50,12.10,
DETMOLD,,,51.55,8.55,
DILLINGEN,,,49.20,6.45,
DOBELN,,,51.15,13.5,
DONAUWÖRTH,,,48.45,10.50,
DORMAGEN,,,51.5,6.35,
DORTMUND,,,51.30,7.30,
DREETZ,,,52.50,12.25,
DRESDEN,,,51.3,13.45,
DUDWEILER,,,49.15,7.0,
DUISBURG,,,51.25,6.45
DÜLKEN,,,51.15,6.20,
DÜREN,,,50.50,6.30,
DÜNEBERG-KRÜMMEL,,,53.27,10.22,
DÜSSELDORF,,,51.15,6.50,
EBINGEN,,,48.15,9.0,
EHRANG,,,49.50,6.50,
EILENBURG,,,51.30,12.40,
EISENACH,,,51.10,20,
EISENBERG,,,50.58,18.54,
EISLEBEN,,,51.30,11.30,
ELBING,,,52.10,19.25,
ELMSHORN,,,53.45,9.40,
EMDEN,,,50.20,7.10,
EMMENDINGEN,,,48.10,7.50,
EMMERICH,,,51.50,6.51,
EMSDETTEN,,,52.10,7.40,
ERFURT,,,51.0,11.0
ERLANGEN,,,49.35,11.0,
ESCHWEGE,,,51.10,10.0,
ESCHWEILER,,,50.50,6.15,
ESSEN,,,51.25,7.00,
EUSKIRCHEN,,,50.40,6.50,
FALKENSEE,,,32.35,13.5,
FALKENSTEIN,,,50.30,12.20,
FALLERSLEBEN,,,52.25,10.40,
FERNDORF,,,50.55,8.0,
FINKENHEERD,,,54.20,14.30,
FINNENTROP,,,51.10,8.0,
FINSTERWALDE,,,51.35,13.40,
FLENSBURG,,,54.45,9.25,
FORBACH,,, 48.40,08.23
FORST,,,51.45,14.40,
FRANKENBERG,,,50.55,13.0,
FRANKENTHAL,,,49.35,8.20,
FRANKFORT-AM-MAIN,,,50.10,8.40,
FRANKFORT-ODER,,,50.20,14.30,
FRECHEN,,,50.55,6.50,
FREIBERG,,,50.55,30.20,
FREIBURG,,,48,7.50,
FREISING,,,48.25,11.45,
FREITAL,,,51.13,38,
FREYBURG,,,51.10,11.50,
FRIEDBERG,,,50.20,8.40,
FRIEDRICHSFELD,,,49.50,8.30,
FRIEDRICHHAFEN,,,47.40,9.30,
FULDA,,,50.30,9.40,
FÜRSTENHAGEN,,,51.13,9.42,
FÜRSTENWALDE,,,50.20,14.5,
FÜRTH,,,49.30,11.5,
FURTWANGEN,,,48.8,10,
GAGGENAU,,,48.50,8.20,
GARMISCH,,,47.30,11.5,
GEISLINGEN,,,43.35,9.50,
GEISWEID,,,50.55,8.0,
GELSENKIRCHEN,,,51.33,7.6,
GENSHAGEN,,,52.20,13.20,
GENTHIN,,,52.24,12.10,
GERA,,,50.50,12.5,
GIESSEN,,,50.35,8.40,
GLADBECK,,,51.35,7.0,
GLATZ,,,50.25,16.30,
GLAUCHAU,,,50.50,12.30,
GLEIWITZ,,,50.18,18.40,
GLOGAU,,,51.40,16.5,
GÖPPINGEN,,,48.45,9.40,
GÖRLITZ,,,51.10,15.0,
GOSLAR,,,51.55,10.25,
GOTHA,,,50.55,10.40,
GÖTTINGEN,,,51.30,9.55,
GREIFFENBERG,,,51.15,30,
GREIFSWALD,,,54.51,13.25,
GREIZ,,,50.40,12.10,
GREVENBROICH,,,51.5,6.35,
GRONAU,,,52.15,7.0,
GRÜNBERG,,,51.55,15.30,
GUBEN,,,51.55,14.40,
GUMBINNEN,,,54.35,22.10,
GUMMERSBACH,,,51.5,7.35,
